542,1016,1859,4101
464,807,1572,3871
452,785,1458,3884
454,688,1563,3736
494,782,1421,3824
516,963,1419,3616
545,969,1397,3551
476,846,1453,3541
389,570,1087,3055
399,571,995,2987
376,602,1222,3039
367,594,1106,2850
409,731,1211,2969
403,868,1308,2962
405,742,1335,2908
399,611,1182,2709
375,610,1103,2706
353,523,966,2564
329,501,963,2617
416,721,946,2650
423,834,901,2613
379,706,731,2353
335,567,473,2246
332,573,213,2092
326,409,182,1973
277,413,165,1942
324,585,153,1962
313,675,137,1787
300,657,129,1605
256,541,121,1489
257,477,127,1344
214,344,169,1314
207,331,219,1387
264,495,322,1375
267,543,385,1362
221,472,420,1306
264,448,407,1270
203,403,441,1253
203,272,431,1341
192,284,446,1326
223,378,568,1381
221,472,641,1370
247,444,681,1425
204,399,635,1393
222,359,626,1333
189,266,599,1366
178,311,584,1392
220,424,657,1478
233,463,837,1450
213,477,814,1528
208,417,743,1456
248,378,753,1514
193,301,723,1528
190,304,689,1535
259,447,764,1662
257,549,918,1611
239,531,965,1601
251,455,881,1573
235,425,861,1600
192,300,730,1682
215,297,679,1621
234,435,691,1689
257,443,752,1755
230,443,769,1681
250,432,882,1509
226,405,869,1493
193,316,747,1550
228,341,657,1663
243,424,745,1622
242,503,887,1668
230,423,762,1644
251,394,773,1577
259,424,830,1430
213,336,792,1631
220,336,761,1549
271,529,814,1602
272,572,1034,1652
254,533,1015,1655
264,467,979,1597
255,460,948,1597
223,379,825,1740
277,377,712,1754
276,538,894,1876
308,623,1009,1810
295,580,1003,1809
275,532,902,1782
257,517,915,1745
227,384,813,1793
251,389,761,1848
311,568,876,1839
331,700,969,1857
331,580,895,1826
296,578,708,1705
270,518,433,1646
245,418,228,1675
268,388,198,1646
279,580,174,1632
300,625,132,1632
251,621,129,1452
241,521,157,1245
223,462,125,1208
183,313,122,1164
192,284,152,1150
210,358,126,1163
227,409,116,1128
183,374,106,1000
174,378,102,935
184,359,105,972
152,248,99,850
174,255,94,900
171,308,81,918
182,399,86,906
161,327,82,803
167,337,86,796
154,253,87,804
124,224,89,753
149,192,92,782
153,302,72,860
150,353,84,755
161,307,64,703
128,267,65,674
124,239,86,734
124,131,98,696
86,77,90,684
86,67,89,735
76,49,61,678
78,57,65,659
63,50,57,674
82,54,62,603
74,50,66,486
49,43,57,514
60,41,57,506
55,31,52,542
57,38,47,492
47,39,56,480
51,28,47,432
42,33,57,445
57,30,41,463
55,42,37,471
56,28,38,449
59,37,46,462
57,26,47,447
50,24,52,428
60,41,58,392
43,37,45,435
49,41,56,440
46,34,47,434
50,38,45,400
46,45,37,448
