1123,769,7234,2310,1759,3068,1124
1128,614,6620,2100,1450,2637,922
1405,679,9697,3273,2889,4512,1730
1364,714,8345,3092,2792,4108,1508
1577,781,8963,3137,2676,3951,1442
1558,877,9422,3044,2626,4028,1512
1769,890,9790,3263,2556,4486,1715
1511,828,7490,2720,1891,3245,1316
1342,650,7049,2477,1467,2779,1070
1411,623,8216,2980,2277,3588,1339
1398,644,7227,2825,2167,3381,1209
1457,643,7164,2582,2026,2979,1197
1377,654,7064,2422,2018,3017,1132
1519,663,6752,2360,1915,3006,1180
1092,499,4644,1749,1275,1894,750
1050,375,4652,1894,1297,1940,749
1323,517,6759,2787,2459,3146,1269
1423,621,5568,2509,2331,2630,1082
1682,695,6088,2416,2157,2580,1051
1730,754,6603,2419,2085,2716,1146
2118,865,6628,2585,2083,2957,1244
1672,731,4975,1991,1316,2036,919
1694,607,4820,1964,1134,1866,748
2188,685,7292,3317,2521,3252,1502
2190,816,6239,3198,2472,2923,1339
2621,960,6705,3153,2413,2788,1303
2819,1117,7173,3132,2444,3095,1370
3197,1193,7289,3373,2442,3296,1559
2637,1005,5767,2829,1647,2419,1129
2354,813,5250,2701,1309,2089,986
3300,917,7977,4378,2874,3550,1747
3220,1008,6825,4141,2802,3291,1636
3729,1209,7334,4095,2650,3182,1582
4188,1428,7666,4083,2727,3177,1675
4696,1539,8009,4375,2761,3564,1882
3818,1285,6319,3715,1994,2682,1374
3435,1101,5541,3382,1509,2296,1187
4898,1222,8429,5512,3185,3993,2224
4632,1328,7151,5180,3110,3540,2003
5600,1527,7760,5062,2907,3552,1956
6069,1645,8259,5139,2963,3486,2060
6920,1798,8517,5262,2982,3899,2239
5600,1539,6511,4406,2194,3003,1687
5080,1179,5891,4271,1697,2401,1394
6790,1401,8537,6594,3317,4091,2610
6306,1398,7474,6065,3314,3751,2229
7560,1645,7638,6104,3280,3551,2090
8086,1778,8102,5945,2981,3642,2310
8994,1879,8334,6112,3174,4119,2691
7137,1449,6350,5207,2224,2918,1856
6262,1151,5803,4812,1797,2497,1577
8650,1283,8265,7398,3534,4243,2824
7950,1379,7108,6880,3474,3820,2552
9297,1555,7421,6621,3291,3546,2390
9878,1644,7747,6443,3122,3658,2387
10716,1620,7889,6660,3139,3933,2800
8343,1273,6026,5718,2271,2821,1992
7204,993,5527,5326,1801,2485,1780
9695,1025,7954,8012,3420,4081,2909
7357,924,5666,5809,2583,2917,2005
8047,973,5900,5459,2492,2600,1958
7912,925,5949,5313,2313,2644,1978
8368,927,5877,5263,2292,2764,2076
5168,655,3843,4060,1548,1693,1355
4964,564,3857,4180,1598,1741,1287
3579,400,3424,3535,1578,1578,1103
2563,342,2802,3091,1386,1360,1089
1690,301,2354,2495,1371,1120,839
2877,412,3704,3731,2114,1727,1279
2623,514,3098,3074,1847,1510,1040
1733,428,1674,1348,885,695,492
2033,396,1913,1387,925,775,577
2244,427,2747,2570,1341,1227,950
2255,453,2210,2650,1267,1098,749
2819,522,2699,3158,1587,1214,833
3095,604,2836,2751,1645,1188,955
3709,764,2999,2966,1534,1298,942
2978,635,2270,2274,908,844,670
2682,507,2146,2390,812,819,640
4077,697,3445,4208,1756,1514,1151
3913,788,2997,3867,1753,1353,1084
4935,975,3207,3748,1810,1247,1048
5516,1061,3574,3812,1788,1366,1131
6286,1166,3693,4283,1745,1611,1263
5237,1015,2992,3547,1207,1187,991
4642,823,2783,3402,986,994,812
6651,1000,4266,5580,2168,1796,1483
6409,1164,3759,5159,2153,1789,1402
7632,1414,3938,5308,2115,1670,1386
8647,1603,4318,5433,2055,1716,1530
10141,1844,4478,5653,2112,2026,1648
8283,1582,3707,4968,1447,1457,1240
7324,1252,3305,4572,1248,1252,983
10333,1522,5104,7586,2522,2311,1887
9744,1697,4283,7073,2445,2017,1799
11312,1998,4844,6863,2399,1977,1736
12678,2257,5113,7089,2278,2078,1782
13976,2511,5438,7581,2336,2333,1987
11513,2151,4204,6414,1727,1692,1551
9806,1618,3738,6004,1367,1435,1321
13698,1859,5910,9424,2722,2551,2307
12528,2010,5099,8833,2547,2322,2092
14454,2232,5394,8623,2511,2036,1889
15677,2427,5713,8460,2461,2155,2100
17216,2556,5914,9017,2452,2351,2289
13398,2026,4544,7593,1779,1769,1603
11700,1504,4157,7041,1328,1455,1415
15484,1775,6326,10615,2837,2510,2481
13600,1864,5292,9918,2672,2236,2228
15417,2044,5750,9632,2542,2059,2144
15902,2214,6162,9353,2382,2208,2059
17256,2409,5921,9833,2491,2349,2309
12835,1817,4694,7973,1712,1618,1630
11029,1398,4345,7505,1427,1469,1418
14286,1526,6249,11088,2571,2424,2426
12543,1587,5494,10348,2622,2132,2088
13919,1638,5675,9948,2380,1987,2010
14357,1773,5893,9359,2313,2046,2118
9763,1225,3920,6538,1409,1351,1281
10234,985,4478,7909,1644,1698,1633
6807,711,3578,6741,1297,1289,1290
9638,879,5257,10046,2387,2049,2014
8254,1013,4731,8665,2252,1807,1586
9228,1170,4800,7722,2202,1685,1689
9700,1190,5132,7880,2007,1788,1727
10058,1235,5125,8316,1868,1934,1792
7735,1005,3950,6491,1451,1411,1329
6487,768,3614,5929,1037,1173,1074
8366,850,5472,9028,2188,2035,1963
7306,915,4824,8526,2063,1827,1736
7774,966,4971,8113,2070,1674,1671
4906,692,3224,5362,1095,1012,987
7515,882,5463,8158,1982,2017,1910
4674,672,3472,6216,1323,1313,1155
4063,560,3084,5311,1046,1009,984
5374,608,4933,8033,2021,1726,1660
4771,685,4273,6971,1860,1642,1644
5346,730,4313,7204,1855,1517,1429
5186,832,4850,6576,1685,1493,1444
5640,923,4732,6969,1707,1672,1617
4322,709,3805,5747,1226,1240,1233
3632,557,3433,5190,954,1029,938
4622,635,5247,8063,1932,1863,1725
4069,681,4494,7593,1889,1567,1632
4061,725,4679,7166,1758,1505,1494
3449,646,4206,5307,1347,1264,1221
3548,635,4167,5613,1352,1375,1337
2335,485,3172,4506,913,936,938
2210,395,3115,4855,921,1027,924
2202,435,3927,5416,1339,1258,1235
1897,427,3395,4889,1339,1091,1071
1830,417,3325,4351,1222,994,946
1767,437,3410,3875,1234,978,964
1725,475,3400,3974,1129,1039,985
1164,316,2260,2576,683,600,586
1096,330,2363,2872,748,674,606
1316,395,3531,4233,1353,1180,950
1205,429,3024,3717,1235,992,822
1236,470,3230,3551,1197,897,808
1257,533,3521,3328,1190,1012,839
1276,531,3551,3530,1136,1072,1013
999,482,2793,2703,751,772,591
903,448,2551,2550,680,667,568
1142,524,4127,4094,1338,1260,1049
1014,554,3763,3781,1330,1127,902
1155,655,3877,3589,1319,1084,878
1061,629,4125,3709,1318,1091,941
1152,661,4546,3705,1317,1262,1015
847,563,3389,3151,906,982,696
783,492,3125,2757,705,756,651
969,557,4898,4241,1509,1387,1091
852,569,4277,3831,1479,1237,976
828,636,4522,3776,1389,1248,915
799,727,4870,3775,1367,1376,1010
901,775,5199,3798,1389,1380,1066
721,626,3913,3141,1012,1024,810
649,565,3734,2794,759,797,629
720,596,5487,4216,1673,1558,1116
759,597,4774,3848,1598,1362,1031
688,630,5129,3806,1538,1347,934
706,602,5619,3553,1593,1375,964
687,656,5695,3779,1545,1457,1081
623,532,4706,3100,1156,1152,760
500,438,4131,2709,872,886,606
661,497,6301,4011,1858,1636,1068
463,382,3470,2454,964,861,586
584,448,5730,3567,1740,1413,922
559,466,5394,3194,1720,1351,917
544,454,5477,3034,1661,1299,909
430,413,4277,2521,1186,1000,627
417,317,3866,1964,803,832,501
488,357,5934,3280,1681,1491,983
444,416,5195,2889,1581,1305,817
435,308,3326,1914,881,731,482
464,376,5904,2692,1718,1328,802
441,383,5218,2566,1588,1363,863
379,337,4055,2100,1089,953,595
397,288,3516,1661,844,746,463
403,306,5815,2494,1671,1388,838
426,324,5054,2387,1641,1204,771
403,343,5298,2302,1506,1154,715
388,374,5724,2103,1603,1204,684
407,344,5743,2239,1620,1287,766
419,343,4549,1767,1120,1031,549
350,278,4104,1570,844,767,444
432,326,6132,2382,1853,1417,787
382,319,5467,2175,1839,1254,665
384,350,5702,2023,1716,1258,625
399,375,5998,1940,1718,1301,690
418,391,6176,1972,1704,1356,659
373,370,4944,1567,1249,961,507
366,304,4490,1378,919,801,378
